Atlantic 1/4,Panthers,7,Bruins,6,Bruins,5,Bruins,6,Bruins,6,Bruins,4,Bruins,5,Bruins,5,Bruins,6,Bruins,4,Panthers,7
Atlantic 2/3,Maple Leafs,6,Maple Leafs,6,Lightning,6,Lightning,7,Maple Leafs,6,Maple Leafs,6,Maple Leafs,6,Lightning,7,Lightning,5,Maple Leafs,7,Maple Leafs,5
Metro 1/4,Hurricanes,6,Islanders,6,Islanders,7,Islanders,7,Hurricanes,7,Hurricanes,5,Islanders,6,Hurricanes,5,Islanders,7,Hurricanes,6,Islanders,6
Metro 2/3,Devils,7,Rangers,7,Rangers,7,Devils,6,Rangers,5,Devils,7,Rangers,5,Rangers,6,Rangers,6,Devils,7,Rangers,4
Central 1/4,Kraken,7,Avalanche,6,Avalanche,5,Avalanche,4,Kraken,7,Avalanche,6,Avalanche,4,Avalanche,4,Avalanche,4,Avalanche,6,Kraken,6
Central 2/3,Stars,6,Stars,7,Stars,6,Stars,5,Wild,6,Stars,5,Stars,6,Wild,6,Stars,6,Stars,6,Wild,5
Pacific 1/4,Golden Knights,5,Golden Knights,7,Golden Knights,7,Jets,7,Golden Knights,5,Jets,6,Golden Knights,7,Golden Knights,5,Golden Knights,7,Golden Knights,5,Jets,7
Pacific 2/3,Oilers,6,Oilers,5,Oilers,6,Oilers,5,Oilers,6,Oilers,5,Oilers,5,Oilers,5,Oilers,5,Oilers,6,Kings,5
Atlantic Finals,Panthers,5,Bruins,7,Bruins,5,Bruins,7,Bruins,6,Bruins,5,Bruins,6,Bruins,5,Bruins,5,Bruins,7,Maple Leafs,6
Metro Finals,Hurricanes,5,Islanders,6,Rangers,6,Devils,6,Rangers,6,Hurricanes,5,Rangers,5,Rangers,7,Rangers,5,Hurricanes,6,Islanders,5
Central Finals,Stars,7,Avalanche,6,Stars,6,Avalanche,7,Wild,5,Stars,7,Avalanche,7,Avalanche,5,Stars,6,Stars,6,Kraken,5
Pacific Finals,Golden Knights,6,Oilers,6,Oilers,6,Oilers,6,Oilers,5,Oilers,6,Oilers,6,Oilers,6,Oilers,4,Oilers,6,Jets,6
East Finals,TBD, ,Bruins,7,Bruins,6,Bruins,5,Rangers,7,Bruins,5,Bruins,7,Bruins,5,Bruins,5,Bruins,6,Maple Leafs,5
West Finals,TBD, ,Oilers,6,Oilers,6,Avalanche,6,Oilers,6,Oilers,6,Oilers,6,Avalanche,6,Oilers,7,Oilers,7,Jets,5
Stanley Cup,TBD, ,Oilers,6,Oilers,6,Avalanche,6,Oilers,6,Oilers,6,Oilers,7,Bruins,6,Oilers,6,Oilers,6,Maple Leafs,6
